id,id_curva,indicador_codigo,sexo_codigo,edad_valor,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4
1,1,BMI,M,61,-0.7387,15.2641,0.0839,,,11.204,12.118,13.031,14.071,15.264,16.645,18.259,20.166,22.072
2,1,BMI,M,62,-0.7621,15.2616,0.08414,,,11.204,12.115,13.027,14.066,15.262,16.648,18.273,20.2,22.127
3,1,BMI,M,63,-0.7856,15.2604,0.08439,,,11.204,12.114,13.024,14.063,15.26,16.653,18.29,20.238,22.186
4,1,BMI,M,64,-0.8089,15.2605,0.08464,,,11.205,12.114,13.022,14.061,15.26,16.659,18.308,20.277,22.247
5,1,BMI,M,65,-0.8322,15.2619,0.0849,,,11.207,12.114,13.021,14.06,15.262,16.667,18.328,20.32,22.312
6,1,BMI,M,66,-0.8554,15.2645,0.08516,,,11.21,12.115,13.021,14.06,15.264,16.676,18.35,20.365,22.38
7,1,BMI,M,67,-0.8785,15.2684,0.08543,,,11.213,12.117,13.021,14.061,15.268,16.686,18.374,20.413,22.452
8,1,BMI,M,68,-0.9015,15.2737,0.0857,,,11.218,12.121,13.023,14.063,15.274,16.699,18.399,20.463,22.526
9,1,BMI,M,69,-0.9243,15.2801,0.08597,,,11.223,12.125,13.026,14.067,15.28,16.712,18.427,20.515,22.604
10,1,BMI,M,70,-0.9471,15.2877,0.08625,,,11.228,12.129,13.03,14.071,15.288,16.727,18.456,20.571,22.685
11,1,BMI,M,71,-0.9697,15.2965,0.08653,,,11.235,12.135,13.035,14.077,15.296,16.743,18.487,20.628,22.77
12,1,BMI,M,72,-0.9921,15.3062,0.08682,,,11.242,12.141,13.04,14.083,15.306,16.761,18.52,20.689,22.858
13,1,BMI,M,73,-1.0144,15.3169,0.08711,,,11.249,12.148,13.047,14.09,15.317,16.78,18.554,20.751,22.948
14,1,BMI,M,74,-1.0365,15.3285,0.08741,,,11.257,12.155,13.053,14.098,15.328,16.799,18.589,20.816,23.043
15,1,BMI,M,75,-1.0584,15.3408,0.08771,,,11.265,12.163,13.061,14.107,15.341,16.82,18.626,20.883,23.139
16,1,BMI,M,76,-1.0801,15.354,0.08802,,,11.274,12.171,13.069,14.116,15.354,16.842,18.665,20.952,23.24
17,1,BMI,M,77,-1.1017,15.3679,0.08833,,,11.283,12.18,13.077,14.126,15.368,16.864,18.704,21.023,23.343
18,1,BMI,M,78,-1.123,15.3825,0.08865,,,11.292,12.189,13.086,14.136,15.382,16.888,18.745,21.097,23.449
