id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
120,1,BMI,M,68,P999,99.9,20.671
121,1,BMI,M,69,P01,0.1,12.049
122,1,BMI,M,69,P1,1.0,12.718
123,1,BMI,M,69,P3,3.0,13.143
124,1,BMI,M,69,P5,5.0,13.379
125,1,BMI,M,69,P10,10.0,13.758
126,1,BMI,M,69,P15,15.0,14.026
127,1,BMI,M,69,P25,25.0,14.441
128,1,BMI,M,69,P50,50.0,15.28
129,1,BMI,M,69,P75,75.0,16.218
130,1,BMI,M,69,P85,85.0,16.769
131,1,BMI,M,69,P90,90.0,17.163
132,1,BMI,M,69,P95,95.0,17.78
133,1,BMI,M,69,P97,97.0,18.205
134,1,BMI,M,69,P99,99.0,19.062
135,1,BMI,M,69,P999,99.9,20.726
136,1,BMI,M,70,P01,0.1,12.054
137,1,BMI,M,70,P1,1.0,12.722
138,1,BMI,M,70,P3,3.0,13.146
139,1,BMI,M,70,P5,5.0,13.382
140,1,BMI,M,70,P10,10.0,13.762
141,1,BMI,M,70,P15,15.0,14.031
142,1,BMI,M,70,P25,25.0,14.446
143,1,BMI,M,70,P50,50.0,15.288
144,1,BMI,M,70,P75,75.0,16.23
145,1,BMI,M,70,P85,85.0,16.784
146,1,BMI,M,70,P90,90.0,17.181
147,1,BMI,M,70,P95,95.0,17.804
148,1,BMI,M,70,P97,97.0,18.232
149,1,BMI,M,70,P99,99.0,19.098
150,1,BMI,M,70,P999,99.9,20.785
151,1,BMI,M,71,P01,0.1,12.06
152,1,BMI,M,71,P1,1.0,12.727
153,1,BMI,M,71,P3,3.0,13.151
154,1,BMI,M,71,P5,5.0,13.387
155,1,BMI,M,71,P10,10.0,13.767
156,1,BMI,M,71,P15,15.0,14.036
157,1,BMI,M,71,P25,25.0,14.452
158,1,BMI,M,71,P50,50.0,15.296
159,1,BMI,M,71,P75,75.0,16.244
160,1,BMI,M,71,P85,85.0,16.801
161,1,BMI,M,71,P90,90.0,17.201
162,1,BMI,M,71,P95,95.0,17.828
163,1,BMI,M,71,P97,97.0,18.261
164,1,BMI,M,71,P99,99.0,19.136
165,1,BMI,M,71,P999,99.9,20.846
166,1,BMI,M,72,P01,0.1,12.066
167,1,BMI,M,72,P1,1.0,12.733
168,1,BMI,M,72,P3,3.0,13.157
169,1,BMI,M,72,P5,5.0,13.393
