indicador_codigo,sexo_codigo,meses,l,m,s,stdev,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,source
IMC_EDAD,F,82,-1.2298,15.3717,0.10654,,11.659,12.381,12.851,13.116,13.549,13.86,14.349,15.372,16.573,17.309,17.85,18.726,19.348,20.659,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,83,-1.2433,15.3871,0.107,,11.664,12.387,12.857,13.123,13.557,13.869,14.36,15.387,16.596,17.337,17.883,18.768,19.397,20.726,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,84,-1.2565,15.4036,0.10746,,11.671,12.394,12.865,13.131,13.566,13.879,14.371,15.404,16.62,17.367,17.918,18.812,19.448,20.794,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,85,-1.2693,15.4211,0.10792,,11.677,12.401,12.873,13.14,13.576,13.89,14.384,15.421,16.645,17.398,17.954,18.857,19.501,20.864,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,86,-1.2819,15.4397,0.10837,,11.685,12.41,12.882,13.15,13.587,13.902,14.398,15.44,16.671,17.43,17.991,18.903,19.554,20.935,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,87,-1.2941,15.4593,0.10883,,11.693,12.419,12.892,13.16,13.599,13.914,14.412,15.459,16.699,17.464,18.03,18.951,19.609,21.009,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,88,-1.306,15.4798,0.10929,,11.702,12.429,12.903,13.172,13.611,13.928,14.428,15.48,16.727,17.499,18.069,19.0,19.666,21.084,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,89,-1.3175,15.5014,0.10974,,11.712,12.439,12.915,13.184,13.625,13.943,14.444,15.501,16.757,17.534,18.11,19.05,19.723,21.16,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,90,-1.3287,15.524,0.1102,,11.722,12.451,12.927,13.197,13.639,13.958,14.462,15.524,16.788,17.571,18.152,19.102,19.783,21.239,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,91,-1.3395,15.5476,0.11065,,11.733,12.463,12.94,13.211,13.655,13.974,14.48,15.548,16.819,17.609,18.195,19.154,19.843,21.318,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,92,-1.3499,15.5723,0.1111,,11.745,12.476,12.954,13.226,13.671,13.992,14.499,15.572,16.852,17.648,18.24,19.208,19.905,21.399,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,93,-1.36,15.5979,0.11156,,11.757,12.489,12.969,13.241,13.688,14.01,14.52,15.598,16.887,17.689,18.286,19.264,19.969,21.483,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
