id,user_id,created_at,updated_at,factor_id,aal,not_after,refreshed_at,user_agent,ip,tag,oauth_client_id,refresh_token_hmac_key,refresh_token_counter,scopes
ee43f031-40e6-4dd3-8b1b-3d926ea9dfe9,ddc6eaf0-d517-4990-b9ff-9465775ff0ed,2026-04-15 14:31:16.023953+00,2026-04-15 14:31:16.023953+00,,aal1,,,Dart/3.11 (dart:io),157.100.139.226,,,,,
d8e3d159-2664-44d2-85d7-923157cc0338,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-07 05:42:50.207162+00,2026-04-07 05:42:50.207162+00,,aal1,,,Python-urllib/3.11,157.100.87.89,,,,,
0bdc0e45-4e31-4e5b-9c7f-450e38adfdcb,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-07 05:43:51.02111+00,2026-04-07 05:43:51.02111+00,,aal1,,,Python-urllib/3.11,157.100.87.89,,,,,
92cbffc0-7f07-423e-b920-77702b385766,b4ca5ef7-58b4-4d3b-844d-39e321a7d73d,2026-04-10 05:32:19.163296+00,2026-04-10 05:32:19.163296+00,,aal1,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.115.0 Chrome/142.0.7444.265 Electron/39.8.5 Safari/537.36",157.100.88.89,,,,,
3673046f-fac7-4248-895d-7b30b7b61f4e,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-07 13:41:46.163433+00,2026-04-07 14:45:12.349189+00,,aal1,,2026-04-07 14:45:12.349091,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",181.199.58.124,,,,,
dc21df8c-3776-47ac-80a0-bd8ebc6a35d2,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-09 16:35:58.239016+00,2026-04-09 16:35:58.239016+00,,aal1,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",157.100.88.89,,,,,
6f5778a3-65b1-4c49-abd8-8253046223c0,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-09 16:43:50.951588+00,2026-04-09 16:43:50.951588+00,,aal1,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",157.100.88.89,,,,,
990807ed-c184-4882-84e0-115cf7e7e406,9854d15c-2641-4cc7-8496-30435fba1566,2026-04-14 07:04:14.737545+00,2026-04-14 13:34:57.717933+00,,aal1,,2026-04-14 13:34:57.717111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",181.199.58.89,,,,,
