id,nombre
1,CEREALES
2,LEGUMBRES
3,VERDURAS Y HORTALIZAS
4,FRUTAS
5,LÁCTEOS Y DERIVADOS
6,HUEVOS Y DERIVADOS
7,CARNES Y DERIVADOS
8,PESCADOS Y DERIVADOS
9,ACEITES Y GRASAS
10,CONDIMENTOS Y SALSAS
11,"AZÚCARES, DULCES Y PASTELERÍA"
12,APERITIVOS
13,BEBIDAS
