id,nombre
1,Padre
2,Madre
3,Abuelo
4,Abuela
5,Tío
6,Tía
7,Hermano
8,Hermana
9,Padrastro
10,Madrastra
11,Representante legal
12,Custodio
13,Familiar cercano
