ref_code,sexo,edad_meses,edad_dias,medida_cm,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,source_file
WFL,M,,,48.5,-0.3521,3.0377,0.08977,,,2.145,2.349,2.552,2.781,3.038,3.328,3.657,4.031,4.406,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,48.6,-0.3521,3.056,0.08972,,,2.158,2.363,2.568,2.798,3.056,3.348,3.678,4.055,4.431,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,48.7,-0.3521,3.0745,0.08966,,,2.172,2.378,2.584,2.815,3.074,3.368,3.7,4.078,4.457,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,48.8,-0.3521,3.0931,0.0896,,,2.185,2.393,2.6,2.832,3.093,3.388,3.722,4.102,4.483,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,48.9,-0.3521,3.1119,0.08954,,,2.199,2.407,2.616,2.849,3.112,3.408,3.744,4.126,4.509,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49,-0.3521,3.1308,0.08948,,,2.213,2.422,2.632,2.867,3.131,3.429,3.766,4.151,4.535,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.1,-0.3521,3.1499,0.08943,,,2.227,2.438,2.648,2.884,3.15,3.45,3.789,4.175,4.562,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.2,-0.3521,3.1691,0.08937,,,2.241,2.453,2.665,2.902,3.169,3.47,3.812,4.2,4.588,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.3,-0.3521,3.1884,0.08931,,,2.255,2.468,2.681,2.92,3.188,3.491,3.834,4.225,4.615,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.4,-0.3521,3.2079,0.08925,,,2.269,2.484,2.698,2.938,3.208,3.512,3.857,4.25,4.642,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.5,-0.3521,3.2276,0.08919,,,2.284,2.499,2.715,2.956,3.228,3.534,3.881,4.275,4.669,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.6,-0.3521,3.2473,0.08913,,,2.298,2.515,2.732,2.974,3.247,3.555,3.904,4.3,4.697,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.7,-0.3521,3.2672,0.08908,,,2.313,2.531,2.749,2.993,3.267,3.577,3.927,4.326,4.724,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.8,-0.3521,3.2873,0.08902,,,2.328,2.547,2.766,3.011,3.287,3.598,3.951,4.352,4.752,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,49.9,-0.3521,3.3075,0.08896,,,2.342,2.563,2.783,3.03,3.308,3.62,3.975,4.377,4.78,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50,-0.3521,3.3278,0.0889,,,2.357,2.579,2.801,3.049,3.328,3.642,3.999,4.403,4.808,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.1,-0.3521,3.3482,0.08884,,,2.372,2.595,2.818,3.068,3.348,3.664,4.023,4.43,4.837,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.2,-0.3521,3.3688,0.08878,,,2.387,2.612,2.836,3.087,3.369,3.687,4.047,4.456,4.865,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.3,-0.3521,3.3894,0.08872,,,2.403,2.628,2.853,3.106,3.389,3.709,4.071,4.482,4.894,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.4,-0.3521,3.4102,0.08867,,,2.418,2.645,2.871,3.125,3.41,3.732,4.096,4.509,4.922,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.5,-0.3521,3.4311,0.08861,,,2.433,2.661,2.889,3.144,3.431,3.754,4.12,4.536,4.951,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.6,-0.3521,3.4522,0.08855,,,2.449,2.678,2.907,3.164,3.452,3.777,4.145,4.563,4.981,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.7,-0.3521,3.4733,0.08849,,,2.464,2.695,2.925,3.183,3.473,3.8,4.17,4.59,5.01,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.8,-0.3521,3.4946,0.08843,,,2.48,2.712,2.944,3.203,3.495,3.823,4.195,4.617,5.039,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,50.9,-0.3521,3.5161,0.08837,,,2.496,2.729,2.962,3.223,3.516,3.846,4.22,4.644,5.069,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51,-0.3521,3.5376,0.08831,,,2.512,2.746,2.981,3.243,3.538,3.87,4.245,4.672,5.099,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.1,-0.3521,3.5593,0.08825,,,2.528,2.763,2.999,3.263,3.559,3.893,4.271,4.7,5.128,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.2,-0.3521,3.5812,0.08819,,,2.544,2.781,3.018,3.283,3.581,3.917,4.296,4.728,5.159,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.3,-0.3521,3.6032,0.08813,,,2.56,2.798,3.037,3.304,3.603,3.941,4.322,4.756,5.189,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.4,-0.3521,3.6254,0.08807,,,2.576,2.816,3.056,3.324,3.625,3.965,4.348,4.784,5.22,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.5,-0.3521,3.6477,0.08801,,,2.593,2.834,3.075,3.345,3.648,3.989,4.375,4.813,5.25,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.6,-0.3521,3.6702,0.08795,,,2.609,2.852,3.094,3.366,3.67,4.013,4.401,4.841,5.281,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.7,-0.3521,3.6929,0.08789,,,2.626,2.87,3.114,3.387,3.693,4.038,4.428,4.87,5.313,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.8,-0.3521,3.7157,0.08783,,,2.643,2.888,3.133,3.408,3.716,4.062,4.454,4.899,5.344,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,51.9,-0.3521,3.7388,0.08777,,,2.66,2.907,3.153,3.429,3.739,4.087,4.482,4.929,5.376,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52,-0.3521,3.762,0.08771,,,2.677,2.925,3.173,3.451,3.762,4.113,4.509,4.958,5.408,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.1,-0.3521,3.7855,0.08765,,,2.694,2.944,3.193,3.472,3.786,4.138,4.536,4.988,5.44,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.2,-0.3521,3.8092,0.08759,,,2.712,2.963,3.214,3.494,3.809,4.164,4.564,5.019,5.473,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.3,-0.3521,3.833,0.08753,,,2.729,2.982,3.234,3.516,3.833,4.189,4.592,5.049,5.506,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.4,-0.3521,3.8571,0.08747,,,2.747,3.001,3.255,3.539,3.857,4.215,4.62,5.08,5.539,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.5,-0.3521,3.8814,0.08741,,,2.765,3.02,3.276,3.561,3.881,4.242,4.649,5.111,5.572,wfl-boys-zscore-expanded-table.xlsx
