id,name,hash,executed_at
49,buckets-objects-grants-postgres,072b1195d0d5a2f888af6b2302a1938dd94b8b3d,2026-03-28 21:50:46.105068
50,search-v2-optimised,6323ac4f850aa14e7387eb32102869578b5bd478,2026-03-28 21:50:46.108411
51,index-backward-compatible-search,2ee395d433f76e38bcd3856debaf6e0e5b674011,2026-03-28 21:50:46.378334
52,drop-not-used-indexes-and-functions,5cc44c8696749ac11dd0dc37f2a3802075f3a171,2026-03-28 21:50:46.38019
53,drop-index-lower-name,d0cb18777d9e2a98ebe0bc5cc7a42e57ebe41854,2026-03-28 21:50:46.448988
54,drop-index-object-level,6289e048b1472da17c31a7eba1ded625a6457e67,2026-03-28 21:50:46.524926
55,prevent-direct-deletes,262a4798d5e0f2e7c8970232e03ce8be695d5819,2026-03-28 21:50:46.528132
56,fix-optimized-search-function,cb58526ebc23048049fd5bf2fd148d18b04a2073,2026-03-28 21:50:46.536438
57,s3-multipart-uploads-metadata,f127886e00d1b374fadbc7c6b31e09336aad5287,2026-04-06 17:46:55.876702
58,operation-ergonomics,00ca5d483b3fe0d522133d9002ccc5df98365120,2026-04-06 17:46:55.903421
