id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
43,43,,10.726000,11.880000,13.034000,14.276000,15.611000,17.044000,18.580000,20.224000,21.869000,bfa-boys-zscore-expanded-tables.xlsx
44,44,,10.768000,11.923000,13.078000,14.321000,15.658000,17.094000,18.633000,20.283000,21.932000,bfa-boys-zscore-expanded-tables.xlsx
45,45,,10.809000,11.965000,13.121000,14.366000,15.704000,17.142000,18.685000,20.339000,21.993000,bfa-boys-zscore-expanded-tables.xlsx
46,46,,10.849000,12.006000,13.163000,14.409000,15.749000,17.190000,18.736000,20.394000,22.052000,bfa-boys-zscore-expanded-tables.xlsx
47,47,,10.888000,12.046000,13.203000,14.450000,15.793000,17.236000,18.786000,20.448000,22.110000,bfa-boys-zscore-expanded-tables.xlsx
48,48,,10.926000,12.084000,13.243000,14.491000,15.835000,17.281000,18.833000,20.500000,22.166000,bfa-boys-zscore-expanded-tables.xlsx
49,49,,10.963000,12.122000,13.281000,14.531000,15.877000,17.325000,18.880000,20.551000,22.221000,bfa-boys-zscore-expanded-tables.xlsx
50,50,,10.999000,12.159000,13.319000,14.569000,15.917000,17.367000,18.926000,20.600000,22.274000,bfa-boys-zscore-expanded-tables.xlsx
51,51,,11.034000,12.195000,13.355000,14.607000,15.956000,17.408000,18.970000,20.648000,22.326000,bfa-boys-zscore-expanded-tables.xlsx
52,52,,11.068000,12.230000,13.391000,14.644000,15.994000,17.448000,19.013000,20.694000,22.376000,bfa-boys-zscore-expanded-tables.xlsx
53,53,,11.102000,12.263000,13.425000,14.679000,16.031000,17.488000,19.055000,20.740000,22.425000,bfa-boys-zscore-expanded-tables.xlsx
54,54,,11.135000,12.297000,13.459000,14.714000,16.067000,17.526000,19.095000,20.784000,22.473000,bfa-boys-zscore-expanded-tables.xlsx
55,55,,11.167000,12.329000,13.492000,14.748000,16.102000,17.563000,19.135000,20.827000,22.519000,bfa-boys-zscore-expanded-tables.xlsx
56,56,,11.198000,12.361000,13.524000,14.781000,16.137000,17.599000,19.174000,20.869000,22.564000,bfa-boys-zscore-expanded-tables.xlsx
57,57,,11.228000,12.391000,13.555000,14.812000,16.170000,17.634000,19.211000,20.910000,22.609000,bfa-boys-zscore-expanded-tables.xlsx
58,58,,11.258000,12.422000,13.586000,14.844000,16.202000,17.668000,19.248000,20.949000,22.651000,bfa-boys-zscore-expanded-tables.xlsx
59,59,,11.286000,12.451000,13.615000,14.874000,16.234000,17.701000,19.283000,20.988000,22.693000,bfa-boys-zscore-expanded-tables.xlsx
60,60,,11.314000,12.479000,13.644000,14.903000,16.264000,17.733000,19.318000,21.026000,22.734000,bfa-boys-zscore-expanded-tables.xlsx
61,61,,11.342000,12.507000,13.672000,14.932000,16.294000,17.765000,19.351000,21.062000,22.773000,bfa-boys-zscore-expanded-tables.xlsx
62,62,,11.369000,12.534000,13.700000,14.960000,16.323000,17.795000,19.384000,21.098000,22.811000,bfa-boys-zscore-expanded-tables.xlsx
63,63,,11.395000,12.560000,13.726000,14.987000,16.351000,17.825000,19.416000,21.133000,22.849000,bfa-boys-zscore-expanded-tables.xlsx
64,64,,11.420000,12.586000,13.752000,15.014000,16.379000,17.854000,19.447000,21.166000,22.885000,bfa-boys-zscore-expanded-tables.xlsx
65,65,,11.445000,12.611000,13.777000,15.040000,16.405000,17.882000,19.477000,21.199000,22.921000,bfa-boys-zscore-expanded-tables.xlsx
66,66,,11.470000,12.636000,13.802000,15.065000,16.431000,17.909000,19.505000,21.230000,22.954000,bfa-boys-zscore-expanded-tables.xlsx
67,67,,11.493000,12.660000,13.826000,15.089000,16.456000,17.935000,19.533000,21.260000,22.987000,bfa-boys-zscore-expanded-tables.xlsx
68,68,,11.516000,12.683000,13.849000,15.113000,16.481000,17.961000,19.561000,21.290000,23.020000,bfa-boys-zscore-expanded-tables.xlsx
69,69,,11.538000,12.705000,13.871000,15.135000,16.504000,17.985000,19.588000,21.320000,23.051000,bfa-boys-zscore-expanded-tables.xlsx
70,70,,11.560000,12.727000,13.893000,15.158000,16.527000,18.009000,19.613000,21.347000,23.081000,bfa-boys-zscore-expanded-tables.xlsx
71,71,,11.582000,12.748000,13.915000,15.179000,16.549000,18.033000,19.638000,21.374000,23.111000,bfa-boys-zscore-expanded-tables.xlsx
72,72,,11.602000,12.769000,13.936000,15.200000,16.571000,18.055000,19.662000,21.401000,23.140000,bfa-boys-zscore-expanded-tables.xlsx
73,73,,11.623000,12.789000,13.956000,15.221000,16.592000,18.077000,19.686000,21.426000,23.167000,bfa-boys-zscore-expanded-tables.xlsx
74,74,,11.642000,12.809000,13.976000,15.241000,16.612000,18.099000,19.708000,21.451000,23.194000,bfa-boys-zscore-expanded-tables.xlsx
75,75,,11.662000,12.828000,13.995000,15.260000,16.632000,18.119000,19.730000,21.475000,23.220000,bfa-boys-zscore-expanded-tables.xlsx
76,76,,11.680000,12.847000,14.013000,15.279000,16.651000,18.139000,19.752000,21.499000,23.246000,bfa-boys-zscore-expanded-tables.xlsx
77,77,,11.699000,12.865000,14.031000,15.297000,16.670000,18.159000,19.773000,21.521000,23.270000,bfa-boys-zscore-expanded-tables.xlsx
