id,punto_id,fuente_archivo,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,p999
27,27,bfa-boys-percentiles-expanded-tables.xlsx,10.894000,11.745000,12.263000,12.543000,12.983000,13.286000,13.743000,14.623000,15.541000,16.049000,16.401000,16.931000,17.281000,17.957000,19.159000
28,28,bfa-boys-percentiles-expanded-tables.xlsx,10.961000,11.814000,12.332000,12.613000,13.054000,13.358000,13.816000,14.698000,15.619000,16.129000,16.482000,17.014000,17.366000,18.045000,19.252000
29,29,bfa-boys-percentiles-expanded-tables.xlsx,11.027000,11.881000,12.400000,12.682000,13.124000,13.428000,13.887000,14.771000,15.695000,16.207000,16.561000,17.095000,17.449000,18.130000,19.342000
30,30,bfa-boys-percentiles-expanded-tables.xlsx,11.092000,11.947000,12.467000,12.749000,13.192000,13.497000,13.957000,14.844000,15.770000,16.284000,16.639000,17.175000,17.530000,18.214000,19.431000
31,31,bfa-boys-percentiles-expanded-tables.xlsx,11.155000,12.011000,12.532000,12.815000,13.258000,13.564000,14.025000,14.914000,15.843000,16.359000,16.715000,17.253000,17.609000,18.296000,19.518000
32,32,bfa-boys-percentiles-expanded-tables.xlsx,11.216000,12.073000,12.595000,12.878000,13.323000,13.629000,14.091000,14.982000,15.914000,16.431000,16.788000,17.328000,17.685000,18.375000,19.602000
33,33,bfa-boys-percentiles-expanded-tables.xlsx,11.275000,12.134000,12.656000,12.940000,13.386000,13.693000,14.155000,15.049000,15.983000,16.501000,16.860000,17.401000,17.760000,18.451000,19.684000
34,34,bfa-boys-percentiles-expanded-tables.xlsx,11.332000,12.192000,12.716000,13.000000,13.446000,13.754000,14.217000,15.113000,16.049000,16.570000,16.929000,17.472000,17.832000,18.526000,19.763000
35,35,bfa-boys-percentiles-expanded-tables.xlsx,11.388000,12.249000,12.773000,13.058000,13.505000,13.813000,14.278000,15.175000,16.114000,16.636000,16.996000,17.541000,17.902000,18.598000,19.840000
36,36,bfa-boys-percentiles-expanded-tables.xlsx,11.442000,12.304000,12.829000,13.114000,13.562000,13.871000,14.336000,15.236000,16.177000,16.700000,17.061000,17.608000,17.970000,18.669000,19.915000
37,37,bfa-boys-percentiles-expanded-tables.xlsx,11.495000,12.358000,12.884000,13.169000,13.618000,13.927000,14.393000,15.294000,16.238000,16.762000,17.124000,17.673000,18.036000,18.737000,19.987000
38,38,bfa-boys-percentiles-expanded-tables.xlsx,11.546000,12.410000,12.936000,13.222000,13.671000,13.981000,14.448000,15.351000,16.297000,16.822000,17.186000,17.735000,18.100000,18.803000,20.058000
39,39,bfa-boys-percentiles-expanded-tables.xlsx,11.596000,12.460000,12.987000,13.273000,13.723000,14.034000,14.502000,15.406000,16.354000,16.881000,17.245000,17.796000,18.161000,18.867000,20.126000
40,40,bfa-boys-percentiles-expanded-tables.xlsx,11.644000,12.509000,13.037000,13.323000,13.774000,14.085000,14.554000,15.460000,16.409000,16.938000,17.303000,17.855000,18.222000,18.929000,20.192000
41,41,bfa-boys-percentiles-expanded-tables.xlsx,11.690000,12.557000,13.085000,13.372000,13.823000,14.134000,14.604000,15.512000,16.463000,16.993000,17.359000,17.913000,18.280000,18.989000,20.256000
42,42,bfa-boys-percentiles-expanded-tables.xlsx,11.736000,12.603000,13.132000,13.419000,13.871000,14.182000,14.653000,15.562000,16.515000,17.046000,17.413000,17.968000,18.336000,19.047000,20.318000
43,43,bfa-boys-percentiles-expanded-tables.xlsx,11.780000,12.648000,13.177000,13.465000,13.917000,14.229000,14.700000,15.611000,16.566000,17.098000,17.465000,18.022000,18.391000,19.104000,20.378000
44,44,bfa-boys-percentiles-expanded-tables.xlsx,11.823000,12.692000,13.221000,13.509000,13.962000,14.274000,14.746000,15.658000,16.615000,17.148000,17.516000,18.074000,18.444000,19.159000,20.437000
45,45,bfa-boys-percentiles-expanded-tables.xlsx,11.865000,12.734000,13.265000,13.553000,14.006000,14.319000,14.791000,15.704000,16.663000,17.197000,17.566000,18.125000,18.496000,19.213000,20.494000
46,46,bfa-boys-percentiles-expanded-tables.xlsx,11.906000,12.775000,13.306000,13.595000,14.048000,14.362000,14.834000,15.749000,16.710000,17.244000,17.614000,18.175000,18.546000,19.265000,20.550000
47,47,bfa-boys-percentiles-expanded-tables.xlsx,11.945000,12.816000,13.347000,13.636000,14.090000,14.403000,14.877000,15.793000,16.755000,17.291000,17.661000,18.223000,18.595000,19.315000,20.604000
48,48,bfa-boys-percentiles-expanded-tables.xlsx,11.984000,12.855000,13.387000,13.675000,14.130000,14.444000,14.918000,15.835000,16.799000,17.335000,17.707000,18.269000,18.643000,19.364000,20.656000
49,49,bfa-boys-percentiles-expanded-tables.xlsx,12.022000,12.893000,13.425000,13.714000,14.169000,14.484000,14.958000,15.877000,16.842000,17.379000,17.751000,18.315000,18.689000,19.413000,20.707000
50,50,bfa-boys-percentiles-expanded-tables.xlsx,12.058000,12.930000,13.463000,13.752000,14.208000,14.522000,14.997000,15.917000,16.883000,17.422000,17.795000,18.359000,18.734000,19.459000,20.757000
51,51,bfa-boys-percentiles-expanded-tables.xlsx,12.094000,12.966000,13.499000,13.789000,14.245000,14.560000,15.035000,15.956000,16.924000,17.463000,17.837000,18.402000,18.778000,19.505000,20.805000
52,52,bfa-boys-percentiles-expanded-tables.xlsx,12.129000,13.002000,13.535000,13.825000,14.281000,14.596000,15.072000,15.994000,16.963000,17.503000,17.878000,18.444000,18.820000,19.549000,20.852000
53,53,bfa-boys-percentiles-expanded-tables.xlsx,12.163000,13.036000,13.570000,13.860000,14.316000,14.632000,15.108000,16.031000,17.002000,17.543000,17.917000,18.485000,18.862000,19.592000,20.898000
54,54,bfa-boys-percentiles-expanded-tables.xlsx,12.196000,13.070000,13.604000,13.894000,14.351000,14.666000,15.143000,16.067000,17.039000,17.581000,17.956000,18.525000,18.902000,19.633000,20.942000
55,55,bfa-boys-percentiles-expanded-tables.xlsx,12.229000,13.103000,13.637000,13.927000,14.384000,14.700000,15.177000,16.102000,17.075000,17.618000,17.994000,18.563000,18.941000,19.674000,20.986000
56,56,bfa-boys-percentiles-expanded-tables.xlsx,12.260000,13.134000,13.669000,13.959000,14.417000,14.733000,15.211000,16.137000,17.111000,17.654000,18.030000,18.601000,18.980000,19.713000,21.028000
57,57,bfa-boys-percentiles-expanded-tables.xlsx,12.291000,13.165000,13.700000,13.991000,14.449000,14.765000,15.243000,16.170000,17.145000,17.689000,18.066000,18.638000,19.017000,19.752000,21.070000
58,58,bfa-boys-percentiles-expanded-tables.xlsx,12.321000,13.196000,13.731000,14.021000,14.480000,14.796000,15.274000,16.202000,17.178000,17.723000,18.101000,18.673000,19.053000,19.789000,21.109000
59,59,bfa-boys-percentiles-expanded-tables.xlsx,12.350000,13.225000,13.760000,14.051000,14.510000,14.826000,15.305000,16.234000,17.211000,17.757000,18.134000,18.708000,19.088000,19.826000,21.148000
60,60,bfa-boys-percentiles-expanded-tables.xlsx,12.378000,13.254000,13.789000,14.080000,14.539000,14.856000,15.335000,16.264000,17.243000,17.789000,18.167000,18.741000,19.123000,19.861000,21.186000
61,61,bfa-boys-percentiles-expanded-tables.xlsx,12.406000,13.282000,13.817000,14.108000,14.567000,14.885000,15.364000,16.294000,17.274000,17.820000,18.199000,18.774000,19.156000,19.896000,21.223000
62,62,bfa-boys-percentiles-expanded-tables.xlsx,12.433000,13.309000,13.845000,14.136000,14.595000,14.913000,15.392000,16.323000,17.304000,17.851000,18.230000,18.806000,19.188000,19.929000,21.259000
63,63,bfa-boys-percentiles-expanded-tables.xlsx,12.460000,13.335000,13.871000,14.163000,14.622000,14.940000,15.420000,16.351000,17.333000,17.881000,18.261000,18.837000,19.220000,19.962000,21.294000
64,64,bfa-boys-percentiles-expanded-tables.xlsx,12.486000,13.361000,13.897000,14.189000,14.649000,14.966000,15.447000,16.379000,17.361000,17.910000,18.290000,18.867000,19.250000,19.993000,21.327000
65,65,bfa-boys-percentiles-expanded-tables.xlsx,12.510000,13.386000,13.923000,14.214000,14.674000,14.992000,15.473000,16.405000,17.388000,17.938000,18.318000,18.896000,19.280000,20.024000,21.361000
66,66,bfa-boys-percentiles-expanded-tables.xlsx,12.535000,13.411000,13.947000,14.239000,14.699000,15.017000,15.498000,16.431000,17.415000,17.965000,18.346000,18.924000,19.309000,20.054000,21.392000
67,67,bfa-boys-percentiles-expanded-tables.xlsx,12.559000,13.435000,13.971000,14.263000,14.723000,15.041000,15.522000,16.456000,17.441000,17.991000,18.373000,18.952000,19.336000,20.083000,21.423000
68,68,bfa-boys-percentiles-expanded-tables.xlsx,12.582000,13.458000,13.995000,14.286000,14.747000,15.065000,15.546000,16.481000,17.466000,18.017000,18.399000,18.978000,19.363000,20.111000,21.453000
69,69,bfa-boys-percentiles-expanded-tables.xlsx,12.604000,13.480000,14.017000,14.309000,14.769000,15.088000,15.569000,16.504000,17.490000,18.042000,18.424000,19.004000,19.390000,20.138000,21.482000
70,70,bfa-boys-percentiles-expanded-tables.xlsx,12.626000,13.502000,14.039000,14.331000,14.791000,15.110000,15.592000,16.527000,17.514000,18.066000,18.448000,19.029000,19.415000,20.164000,21.510000
71,71,bfa-boys-percentiles-expanded-tables.xlsx,12.648000,13.524000,14.060000,14.352000,14.813000,15.132000,15.613000,16.549000,17.537000,18.089000,18.472000,19.053000,19.440000,20.190000,21.538000
