id,curva_id,indicador_codigo,sexo_codigo,edad_meses,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4
46,1,BMI,M,45,-0.317400,15.382700,0.081440,,,,12.200,13.100,14.200,15.400,16.700,18.200,19.800,
47,1,BMI,M,46,-0.330300,15.365200,0.081740,,,,12.100,13.100,14.200,15.400,16.700,18.200,19.800,
48,1,BMI,M,47,-0.345200,15.348500,0.082050,,,,12.100,13.100,14.200,15.300,16.700,18.200,19.900,
49,1,BMI,M,48,-0.362200,15.332600,0.082380,,,,12.100,13.100,14.100,15.300,16.700,18.200,19.900,
50,1,BMI,M,49,-0.381100,15.317400,0.082720,,,,12.100,13.000,14.100,15.300,16.700,18.200,19.900,
51,1,BMI,M,50,-0.401900,15.302900,0.083070,,,,12.100,13.000,14.100,15.300,16.700,18.200,19.900,
52,1,BMI,M,51,-0.424500,15.289100,0.083430,,,,12.100,13.000,14.100,15.300,16.600,18.200,19.900,
53,1,BMI,M,52,-0.448800,15.275900,0.083800,,,,12.000,13.000,14.100,15.300,16.600,18.200,19.900,
54,1,BMI,M,53,-0.474700,15.263300,0.084180,,,,12.000,13.000,14.100,15.300,16.600,18.200,20.000,
55,1,BMI,M,54,-0.501900,15.251400,0.084570,,,,12.000,13.000,14.000,15.300,16.600,18.200,20.000,
56,1,BMI,M,55,-0.530300,15.240000,0.084960,,,,12.000,13.000,14.000,15.200,16.600,18.200,20.000,
57,1,BMI,M,56,-0.559900,15.229100,0.085360,,,,12.000,12.900,14.000,15.200,16.600,18.200,20.100,
58,1,BMI,M,57,-0.590500,15.218800,0.085770,,,,12.000,12.900,14.000,15.200,16.600,18.200,20.100,
59,1,BMI,M,58,-0.622300,15.209100,0.086170,,,,12.000,12.900,14.000,15.200,16.600,18.300,20.200,
60,1,BMI,M,59,-0.655200,15.200000,0.086590,,,,12.000,12.900,14.000,15.200,16.600,18.300,20.200,
61,1,BMI,M,60,-0.689200,15.191600,0.087000,,,,12.000,12.900,14.000,15.200,16.600,18.300,20.300,
62,2,BMI,F,0,-0.063100,13.336300,0.092720,,,,10.100,11.100,12.200,13.300,14.600,16.100,17.700,
63,2,BMI,F,1,0.344800,14.567900,0.095560,,,,10.800,12.000,13.200,14.600,16.000,17.500,19.100,
64,2,BMI,F,2,0.174900,15.767900,0.093710,,,,11.800,13.000,14.300,15.800,17.300,19.000,20.700,
65,2,BMI,F,3,0.064300,16.357400,0.092540,,,,12.400,13.600,14.900,16.400,17.900,19.700,21.500,
66,2,BMI,F,4,-0.019100,16.670300,0.091660,,,,12.700,13.900,15.200,16.700,18.300,20.000,22.000,
67,2,BMI,F,5,-0.086400,16.838600,0.090960,,,,12.900,14.100,15.400,16.800,18.400,20.200,22.200,
68,2,BMI,F,6,-0.142900,16.908300,0.090360,,,,13.000,14.100,15.500,16.900,18.500,20.300,22.300,
69,2,BMI,F,7,-0.191600,16.902000,0.089840,,,,13.000,14.200,15.500,16.900,18.500,20.300,22.300,
70,2,BMI,F,8,-0.234400,16.840400,0.089390,,,,13.000,14.100,15.400,16.800,18.400,20.200,22.200,
71,2,BMI,F,9,-0.272500,16.740600,0.088980,,,,12.900,14.100,15.300,16.700,18.300,20.100,22.100,
72,2,BMI,F,10,-0.306800,16.618400,0.088610,,,,12.900,14.000,15.200,16.600,18.200,19.900,21.900,
73,2,BMI,F,11,-0.338100,16.487500,0.088280,,,,12.800,13.900,15.100,16.500,18.000,19.800,21.800,
74,2,BMI,F,12,-0.366700,16.356800,0.087970,,,,12.700,13.800,15.000,16.400,17.900,19.600,21.600,
75,2,BMI,F,13,-0.393200,16.231100,0.087680,,,,12.600,13.700,14.900,16.200,17.700,19.500,21.400,
76,2,BMI,F,14,-0.417700,16.112800,0.087410,,,,12.600,13.600,14.800,16.100,17.600,19.300,21.300,
77,2,BMI,F,15,-0.440700,16.002800,0.087160,,,,12.500,13.500,14.700,16.000,17.500,19.200,21.100,
78,2,BMI,F,16,-0.462300,15.901700,0.086930,,,,12.400,13.500,14.600,15.900,17.400,19.100,21.000,
79,2,BMI,F,17,-0.482500,15.809600,0.086710,,,,12.400,13.400,14.500,15.800,17.300,18.900,20.900,
80,2,BMI,F,18,-0.501700,15.726300,0.086500,,,,12.300,13.300,14.400,15.700,17.200,18.800,20.800,
81,2,BMI,F,19,-0.519900,15.651700,0.086300,,,,12.300,13.300,14.400,15.700,17.100,18.800,20.700,
82,2,BMI,F,20,-0.537200,15.585500,0.086120,,,,12.200,13.200,14.300,15.600,17.000,18.700,20.600,
83,2,BMI,F,21,-0.553700,15.527800,0.085940,,,,12.200,13.200,14.300,15.500,17.000,18.600,20.500,
84,2,BMI,F,22,-0.569500,15.478700,0.085770,,,,12.200,13.100,14.200,15.500,16.900,18.500,20.400,
85,2,BMI,F,23,-0.584600,15.438000,0.085600,,,,12.200,13.100,14.200,15.400,16.900,18.500,20.400,
86,2,BMI,F,24,-0.568400,15.688100,0.084540,,,,12.400,13.300,14.400,15.700,17.100,18.700,20.600,
87,2,BMI,F,25,-0.568400,15.659000,0.084520,,,,12.400,13.300,14.400,15.700,17.100,18.700,20.600,
88,2,BMI,F,26,-0.568400,15.630800,0.084490,,,,12.300,13.300,14.400,15.600,17.000,18.700,20.600,
89,2,BMI,F,27,-0.568400,15.603700,0.084460,,,,12.300,13.300,14.400,15.600,17.000,18.600,20.500,
90,2,BMI,F,28,-0.568400,15.577700,0.084440,,,,12.300,13.300,14.300,15.600,17.000,18.600,20.500,
91,2,BMI,F,29,-0.568400,15.552300,0.084430,,,,12.300,13.200,14.300,15.600,17.000,18.600,20.400,
92,2,BMI,F,30,-0.568400,15.527600,0.084440,,,,12.300,13.200,14.300,15.500,16.900,18.500,20.400,
93,2,BMI,F,31,-0.568400,15.503400,0.084480,,,,12.200,13.200,14.300,15.500,16.900,18.500,20.400,
94,2,BMI,F,32,-0.568400,15.479800,0.084550,,,,12.200,13.200,14.300,15.500,16.900,18.500,20.400,
95,2,BMI,F,33,-0.568400,15.457200,0.084670,,,,12.200,13.100,14.200,15.500,16.900,18.500,20.300,
96,2,BMI,F,34,-0.568400,15.435600,0.084840,,,,12.200,13.100,14.200,15.400,16.800,18.500,20.300,
