id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
116,36.400,90.400,0.000,2.400,4.20000000,2.00000000,2.200,0.000,2.400,0.580,0.070,0.060,0.230,0.000,30.600,0.000,184.00000000,0.000,0.280,43.000,0.060,0.100,1.500,0.220,62.300,0.000,0.090,7.000,23.400,51.700,37.000,1.000,3.600,0.230,22.200,1.500,238.000,0.220,0.080,1.400,0.040,ALA,0.000,45.000,0.000
117,19.600,95.100,0.000,1.400,1.40000000,0.03600000,1.400,0.000,1.500,0.600,0.120,0.006,0.370,0.000,29.200,0.000,175.00000000,0.000,0.600,113.000,0.060,0.070,0.800,0.060,33.600,0.000,0.110,1.900,13.000,34.700,28.000,1.000,3.000,0.230,8.700,3.000,220.000,0.300,0.010,1.000,0.010,ALA,0.000,25.000,0.000
118,26.600,92.300,0.000,1.500,3.50000000,0.07200000,3.500,0.000,2.500,0.180,0.036,0.006,0.098,0.000,2.500,0.000,15.00000000,0.000,1.700,25.000,0.063,0.044,0.500,0.150,35.000,0.000,0.320,2.000,57.000,52.000,36.000,0.440,2.900,0.240,13.000,10.000,250.000,0.160,0.041,0.920,0.030,ALA,0.000,180.000,0.000
119,23.600,93.100,0.000,1.300,3.30000000,2.10000000,1.200,0.000,2.200,0.090,0.016,0.018,0.050,0.000,45.700,0.000,274.00000000,0.000,0.000,5.300,0.012,0.041,0.410,0.070,3.000,0.000,0.170,0.000,9.300,164.000,16.000,0.590,0.000,0.250,52.000,21.000,257.000,0.460,0.052,0.700,0.010,ALA,0.000,218.800,0.000
120,13.300,96.600,0.000,0.630,1.90000000,0.08000000,1.800,0.000,0.700,0.200,0.069,0.008,0.088,0.000,28.200,0.000,169.00000000,0.000,0.390,13.000,0.040,0.030,0.360,0.040,19.400,0.000,0.260,0.900,7.000,18.500,23.000,0.200,0.300,0.140,7.300,3.000,140.000,0.080,0.039,0.800,0.010,ALA,0.000,20.000,0.000
121,33.100,92.200,0.000,1.300,4.20000000,0.00000000,4.200,0.000,1.500,0.900,0.300,0.000,0.300,0.000,539.000,0.000,3236.00000000,0.000,0.800,17.000,0.040,0.030,1.100,0.280,23.700,0.000,0.080,0.000,139.000,11.900,22.000,0.370,0.780,0.140,12.800,4.000,160.000,0.100,0.010,0.100,0.010,ALA,0.000,85.000,0.000
122,19.700,95.200,0.000,0.630,1.60000000,0.07000000,1.500,0.000,1.800,0.800,0.300,0.100,0.300,0.000,32.800,0.000,197.00000000,0.000,0.870,11.000,0.010,0.020,0.230,0.270,25.100,0.000,0.060,0.000,107.000,11.300,19.000,0.490,0.170,0.120,10.500,4.000,120.000,0.130,0.020,0.000,0.010,ALA,0.000,70.000,0.000
123,29.200,92.000,0.000,2.200,3.30000000,0.12000000,3.100,0.000,2.300,0.290,0.078,0.013,0.180,0.000,123.000,0.000,739.00000000,0.000,0.530,47.000,0.086,0.068,0.770,0.260,103.000,0.000,0.140,1.600,26.000,63.000,48.000,0.810,8.600,0.310,16.000,4.400,267.000,0.190,0.053,0.760,0.020,ALA,0.000,45.000,0.000
124,32.100,91.400,0.000,1.700,4.10000000,0.09000000,4.000,0.000,2.400,0.450,0.100,0.047,0.300,0.000,64.200,0.000,385.00000000,0.000,0.200,70.000,0.150,0.020,0.800,0.170,75.000,0.000,0.210,0.100,49.000,52.000,41.000,0.700,2.000,0.300,8.000,5.000,270.000,0.200,0.020,1.000,0.030,ALA,0.000,55.000,0.000
125,22.200,94.000,0.000,0.880,3.50000000,0.10000000,3.400,0.000,1.400,0.210,0.037,0.025,0.100,0.000,217.000,0.000,1302.00000000,0.000,0.890,5.700,0.070,0.040,0.900,0.130,28.800,0.000,0.280,1.500,26.600,10.600,24.000,0.700,2.200,0.160,8.300,9.000,242.000,0.110,0.058,0.990,0.010,ALA,0.000,60.000,0.000
